what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1322141482734
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.perspectives.showPerspective",1322141482734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141482750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141484218
activated,view,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesView",1322141485156
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewAddToIndex",1322141492515
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.SimplePush",1322141510828
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141511421
started,bundle,org.eclipse.equinox.security.ui,1.1.0.v20101004,"org.eclipse.equinox.security.ui",1322141514812
error,log,,,"An exception occurred during push on URI https://boonhero@github.com/boonhero/project_inventory.git: An internal Exception occurred during push: https://boonhero@github.com/boonhero/project_inventory.git: not authorized",1322141517453
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141517468
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141518671
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141529156
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141529218
error,log,,,"An exception occurred during push on URI https://boonhero@github.com/boonhero/project_inventory.git: An internal Exception occurred during push: https://boonhero@github.com/boonhero/project_inventory.git: not authorized",1322141585703
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141601281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141601578
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141604031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141604046
error,log,,,"An exception occurred during push on URI https://boonhero@github.com/boonhero/project_inventory.git: An internal Exception occurred during push: https://boonhero@github.com/boonhero/project_inventory.git: not authorized",1322141606515
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1322141676312
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141676515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141678296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141689984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1322141690281
